Month,Year,Department ,Category,Sub Category,Value
01,2025,Orthopaedic,Departmental Metrics,Actual Profitability,85000
01,2025,Dialysis,Departmental Metrics,Expected Revenue,200000
01,2025,Dialysis,Departmental Metrics,Actual Revenue,195000
01,2025,Dialysis,Departmental Metrics,Expected Patients,2400
01,2025,Dialysis,Departmental Metrics,Actual Patients,4220
01,2025,Dialysis,Departmental Metrics,Expected Profitability,50000
01,2025,Dialysis,Departmental Metrics,Actual Profitability,42000
01,2025,Pediatric,Departmental Metrics,Expected Revenue,280000
01,2025,Pediatric,Departmental Metrics,Actual Revenue,270000
01,2025,Pediatric,Departmental Metrics,Expected Patients,3000
01,2025,Pediatric,Departmental Metrics,Actual Patients,1500
01,2025,Pediatric,Departmental Metrics,Expected Profitability,75000
01,2025,Pediatric,Departmental Metrics,Actual Profitability,72000
01,2025,Ophthalmology,Departmental Metrics,Expected Revenue,160000
01,2025,Ophthalmology,Departmental Metrics,Actual Revenue,155000
01,2025,Ophthalmology,Departmental Metrics,Expected Patients,2200
01,2025,Ophthalmology,Departmental Metrics,Actual Patients,1200
01,2025,Ophthalmology,Departmental Metrics,Expected Profitability,40000
01,2025,Ophthalmology,Departmental Metrics,Actual Profitability,31000
01,2025,Homoeopathic,Departmental Metrics,Expected Revenue,100000
01,2025,Homoeopathic,Departmental Metrics,Actual Revenue,95000
01,2025,Homoeopathic,Departmental Metrics,Expected Patients,1800
01,2025,Homoeopathic,Departmental Metrics,Actual Patients,2500
01,2025,Homoeopathic,Departmental Metrics,Expected Profitability,20000
01,2025,Homoeopathic,Departmental Metrics,Actual Profitability,18000
01,2025,Geriatric,Departmental Metrics,Expected Revenue,190000
01,2025,Geriatric,Departmental Metrics,Actual Revenue,185000
01,2025,Geriatric,Departmental Metrics,Expected Patients,2000
01,2025,Geriatric,Departmental Metrics,Actual Patients,990
01,2025,Geriatric,Departmental Metrics,Expected Profitability,55000
01,2025,Geriatric,Departmental Metrics,Actual Profitability,53000
01,2025,Cardiology,Departmental Metrics,Expected Revenue,350000
01,2025,Cardiology,Departmental Metrics,Actual Revenue,340000
01,2025,Cardiology,Departmental Metrics,Expected Patients,2500
01,2025,Cardiology,Departmental Metrics,Actual Patients,660
01,2025,Cardiology,Departmental Metrics,Expected Profitability,100000
01,2025,Cardiology,Departmental Metrics,Actual Profitability,77000
01,2025,Surgery,Departmental Metrics,Expected Revenue,400000
01,2025,Surgery,Departmental Metrics,Actual Revenue,390000
01,2025,Surgery,Departmental Metrics,Expected Patients,2700
01,2025,Surgery,Departmental Metrics,Actual Patients,2350
01,2025,Surgery,Departmental Metrics,Expected Profitability,120000
01,2025,Surgery,Departmental Metrics,Actual Profitability,115000
01,2025,Gynaecology,Departmental Metrics,Expected Revenue,260000
01,2025,Gynaecology,Departmental Metrics,Actual Revenue,250000
01,2025,Gynaecology,Departmental Metrics,Expected Patients,3000
01,2025,Gynaecology,Departmental Metrics,Actual Patients,2780
01,2025,Gynaecology,Departmental Metrics,Expected Profitability,80000
01,2025,Gynaecology,Departmental Metrics,Actual Profitability,77000
01,2025,Neurology,Departmental Metrics,Expected Revenue,300000
01,2025,Neurology,Departmental Metrics,Actual Revenue,290000
01,2025,Neurology,Departmental Metrics,Expected Patients,2200
01,2025,Neurology,Departmental Metrics,Actual Patients,1950
01,2025,Neurology,Departmental Metrics,Expected Profitability,95000
01,2025,Neurology,Departmental Metrics,Actual Profitability,90000
01,2025,Urology,Departmental Metrics,Expected Revenue,240000
01,2025,Urology,Departmental Metrics,Actual Revenue,230000
01,2025,Urology,Departmental Metrics,Expected Patients,2000
01,2025,Urology,Departmental Metrics,Actual Patients,1100
01,2025,Urology,Departmental Metrics,Expected Profitability,60000
01,2025,Urology,Departmental Metrics,Actual Profitability,46000
01,2025,ENT,Departmental Metrics,Expected Revenue,170000
01,2025,ENT,Departmental Metrics,Actual Revenue,165000
01,2025,ENT,Departmental Metrics,Expected Patients,2300
01,2025,ENT,Departmental Metrics,Actual Patients,3460
01,2025,ENT,Departmental Metrics,Expected Profitability,45000
01,2025,ENT,Departmental Metrics,Actual Profitability,88000
01,2025,Gastroenterology,Departmental Metrics,Expected Revenue,290000
01,2025,Gastroenterology,Departmental Metrics,Actual Revenue,280000
01,2025,Gastroenterology,Departmental Metrics,Expected Patients,2400
01,2025,Gastroenterology,Departmental Metrics,Actual Patients,2350
01,2025,Gastroenterology,Departmental Metrics,Expected Profitability,85000
01,2025,Gastroenterology,Departmental Metrics,Actual Profitability,80000
02,2025,General,General,Expected Revenue,1350000
02,2025,General,General,Actual Revenue,1320000
02,2025,General,General,Expected Expense,720000
02,2025,General,General,Actual Expense,710000
02,2025,Diagnostics,Diagnostics,Expected Lab Tests,26500
02,2025,Diagnostics,Diagnostics,Actual Lab Tests,25400
02,2025,Diagnostics,Diagnostics,Expected Radiology Tests,19200
02,2025,Diagnostics,Diagnostics,Actual Radiology Tests,18700
02,2025,Admissions & Discharges,Admissions & Discharges,Expected Admissions,4800
02,2025,Admissions & Discharges,Admissions & Discharges,Actual Admissions,4650
02,2025,Admissions & Discharges,Admissions & Discharges,Expected Discharges,4700
02,2025,Admissions & Discharges,Admissions & Discharges,Actual Discharges,4500
02,2025,Workforce,Workforce,Expected Joinees,160
02,2025,Workforce,Workforce,Actual Joinees,150
02,2025,Workforce,Workforce,Expected Resignations,50
02,2025,Workforce,Workforce,Actual Resignations,45
02,2025,Pharmacy,Pharmacy,Expected Issued,125000
02,2025,Pharmacy,Pharmacy,Actual Issued,122000
02,2025,Pharmacy,Pharmacy,Expected Expired,2200
02,2025,Pharmacy,Pharmacy,Actual Expired,2000
02,2025,Feedback,Feedback,Expected IPDScore,9.1
02,2025,Feedback,Feedback,Actual IPDScore,8.6
02,2025,Feedback,Feedback,Expected OPDScore,9.3
02,2025,Feedback,Feedback,Actual OPDScore,8.9
02,2025,Maintenance,Maintenance,Expected Repair Cost,110000
02,2025,Maintenance,Maintenance,Actual Repair Cost,105000
02,2025,Maintenance,Maintenance,Expected Purchase Cost,270000
02,2025,Maintenance,Maintenance,Actual Purchase Cost,260000
02,2025,General Medicine,Departmental Metrics,Expected Revenue,270000
02,2025,General Medicine,Departmental Metrics,Actual Revenue,260000
02,2025,General Medicine,Departmental Metrics,Expected Patients,6200
02,2025,General Medicine,Departmental Metrics,Actual Patients,6000
02,2025,General Medicine,Departmental Metrics,Expected Profitability,72000
02,2025,General Medicine,Departmental Metrics,Actual Profitability,68000
02,2025,Orthopaedic,Departmental Metrics,Expected Revenue,340000
02,2025,Orthopaedic,Departmental Metrics,Actual Revenue,325000
02,2025,Orthopaedic,Departmental Metrics,Expected Patients,5000
02,2025,Orthopaedic,Departmental Metrics,Actual Patients,4900
02,2025,Orthopaedic,Departmental Metrics,Expected Profitability,95000
02,2025,Orthopaedic,Departmental Metrics,Actual Profitability,90000
02,2025,Dialysis,Departmental Metrics,Expected Revenue,210000
02,2025,Dialysis,Departmental Metrics,Actual Revenue,200000
02,2025,Dialysis,Departmental Metrics,Expected Patients,2600
02,2025,Dialysis,Departmental Metrics,Actual Patients,2550
02,2025,Dialysis,Departmental Metrics,Expected Profitability,53000
02,2025,Dialysis,Departmental Metrics,Actual Profitability,50000
02,2025,Pediatric,Departmental Metrics,Expected Revenue,300000
02,2025,Pediatric,Departmental Metrics,Actual Revenue,285000
02,2025,Pediatric,Departmental Metrics,Expected Patients,3200
02,2025,Pediatric,Departmental Metrics,Actual Patients,3100
02,2025,Pediatric,Departmental Metrics,Expected Profitability,78000
02,2025,Pediatric,Departmental Metrics,Actual Profitability,75000
02,2025,Ophthalmology,Departmental Metrics,Expected Revenue,175000
02,2025,Ophthalmology,Departmental Metrics,Actual Revenue,165000
02,2025,Ophthalmology,Departmental Metrics,Expected Patients,2400
02,2025,Ophthalmology,Departmental Metrics,Actual Patients,2250
02,2025,Ophthalmology,Departmental Metrics,Expected Profitability,42000
02,2025,Ophthalmology,Departmental Metrics,Actual Profitability,40000
02,2025,Homoeopathic,Departmental Metrics,Expected Revenue,110000
02,2025,Homoeopathic,Departmental Metrics,Actual Revenue,100000
02,2025,Homoeopathic,Departmental Metrics,Expected Patients,2000
02,2025,Homoeopathic,Departmental Metrics,Actual Patients,1900
02,2025,Homoeopathic,Departmental Metrics,Expected Profitability,22000
02,2025,Homoeopathic,Departmental Metrics,Actual Profitability,20000
02,2025,Geriatric,Departmental Metrics,Expected Revenue,210000
02,2025,Geriatric,Departmental Metrics,Actual Revenue,200000
02,2025,Geriatric,Departmental Metrics,Expected Patients,2200
02,2025,Geriatric,Departmental Metrics,Actual Patients,2100
02,2025,Geriatric,Departmental Metrics,Expected Profitability,58000
02,2025,Geriatric,Departmental Metrics,Actual Profitability,55000
02,2025,Cardiology,Departmental Metrics,Expected Revenue,370000
02,2025,Cardiology,Departmental Metrics,Actual Revenue,350000
02,2025,Cardiology,Departmental Metrics,Expected Patients,2700
02,2025,Cardiology,Departmental Metrics,Actual Patients,2600
02,2025,Cardiology,Departmental Metrics,Expected Profitability,105000
02,2025,Cardiology,Departmental Metrics,Actual Profitability,100000
02,2025,Surgery,Departmental Metrics,Expected Revenue,420000
02,2025,Surgery,Departmental Metrics,Actual Revenue,410000
02,2025,Surgery,Departmental Metrics,Expected Patients,2900
02,2025,Surgery,Departmental Metrics,Actual Patients,2800
02,2025,Surgery,Departmental Metrics,Expected Profitability,125000
02,2025,Surgery,Departmental Metrics,Actual Profitability,118000
02,2025,Gynaecology,Departmental Metrics,Expected Revenue,280000
02,2025,Gynaecology,Departmental Metrics,Actual Revenue,265000
02,2025,Gynaecology,Departmental Metrics,Expected Patients,265000
02,2025,Gynaecology,Departmental Metrics,Actual Patients,3100
02,2025,Gynaecology,Departmental Metrics,Expected Profitability,82000
02,2025,Gynaecology,Departmental Metrics,Actual Profitability,78000
02,2025,Neurology,Departmental Metrics,Expected Revenue,320000
02,2025,Neurology,Departmental Metrics,Actual Revenue,310000
02,2025,Neurology,Departmental Metrics,Expected Patients,2300
02,2025,Neurology,Departmental Metrics,Actual Patients,2200
02,2025,Neurology,Departmental Metrics,Expected Profitability,97000
02,2025,Neurology,Departmental Metrics,Actual Profitability,92000
02,2025,Urology,Departmental Metrics,Expected Revenue,260000
02,2025,Urology,Departmental Metrics,Actual Revenue,250000
02,2025,Urology,Departmental Metrics,Expected Patients,2200
02,2025,Urology,Departmental Metrics,Actual Patients,2150
02,2025,Urology,Departmental Metrics,Expected Profitability,62000
02,2025,Urology,Departmental Metrics,Actual Profitability,59000
02,2025,ENT,Departmental Metrics,Expected Revenue,190000
02,2025,ENT,Departmental Metrics,Actual Revenue,180000
02,2025,ENT,Departmental Metrics,Expected Patients,2400
02,2025,ENT,Departmental Metrics,Actual Patients,2300
02,2025,ENT,Departmental Metrics,Expected Profitability,47000
02,2025,ENT,Departmental Metrics,Actual Profitability,44000
02,2025,Gastroenterology,Departmental Metrics,Expected Revenue,310000
02,2025,Gastroenterology,Departmental Metrics,Actual Revenue,300000
02,2025,Gastroenterology,Departmental Metrics,Expected Patients,2600
02,2025,Gastroenterology,Departmental Metrics,Actual Patients,2500
02,2025,Gastroenterology,Departmental Metrics,Expected Profitability,88000
02,2025,Gastroenterology,Departmental Metrics,Actual Profitability,83000
03,2025,General,General,Expected Revenue,10000000
03,2025,General,General,Actual Revenue,9800000
03,2025,General,General,Expected Expense,8700000
03,2025,General,General,Actual Expense,9200000
03,2025,Diagnostics,Diagnostics,Expected Lab Tests,120000
03,2025,Diagnostics,Diagnostics,Actual Lab Tests,115000
03,2025,Diagnostics,Diagnostics,Expected Radiology Tests,95000
03,2025,Diagnostics,Diagnostics,Actual Radiology Tests,91000
03,2025,Admissions & Discharges,Admissions & Discharges,Expected Admissions,80000
03,2025,Admissions & Discharges,Admissions & Discharges,Actual Admissions,78000
03,2025,Admissions & Discharges,Admissions & Discharges,Expected Discharges,77000
03,2025,Admissions & Discharges,Admissions & Discharges,Actual Discharges,76000
03,2025,Workforce,Workforce,Expected Joinees,5000
03,2025,Workforce,Workforce,Actual Joinees,4800
03,2025,Workforce,Workforce,Expected Resignations,3000
03,2025,Workforce,Workforce,Actual Resignations,3100
03,2025,Pharmacy,Pharmacy,Expected Issued,250000
03,2025,Pharmacy,Pharmacy,Actual Issued,240000
03,2025,Pharmacy,Pharmacy,Expected Expired,5000
03,2025,Pharmacy,Pharmacy,Actual Expired,5300
03,2025,Feedback,Feedback,Expected IPDScore,9
03,2025,Feedback,Feedback,Actual IPDScore,7.6
03,2025,Feedback,Feedback,Expected OPDScore,9.5
03,2025,Feedback,Feedback,Actual OPDScore,7.2
03,2025,Maintenance,Maintenance,Expected Repair Cost,3000000
03,2025,Maintenance,Maintenance,Actual Repair Cost,3200000
03,2025,Maintenance,Maintenance,Expected Purchase Cost,4500000
03,2025,Maintenance,Maintenance,Actual Purchase Cost,4600000
03,2025,General Medicine,Departmental Metrics,Expected Revenue,5000000
03,2025,General Medicine,Departmental Metrics,Actual Revenue,4800000
03,2025,General Medicine,Departmental Metrics,Expected Patients,60000
03,2025,General Medicine,Departmental Metrics,Actual Patients,58000
03,2025,General Medicine,Departmental Metrics,Expected Profitability,1000000
03,2025,General Medicine,Departmental Metrics,Actual Profitability,950000
03,2025,Orthopaedic,Departmental Metrics,Expected Revenue,4000000
03,2025,Orthopaedic,Departmental Metrics,Actual Revenue,3900000
03,2025,Orthopaedic,Departmental Metrics,Expected Patients,55000
03,2025,Orthopaedic,Departmental Metrics,Actual Patients,53000
03,2025,Orthopaedic,Departmental Metrics,Expected Profitability,900000
03,2025,Orthopaedic,Departmental Metrics,Actual Profitability,880000
03,2025,Dialysis,Departmental Metrics,Expected Revenue,3500000
03,2025,Dialysis,Departmental Metrics,Actual Revenue,3400000
03,2025,Dialysis,Departmental Metrics,Expected Patients,40000
03,2025,Dialysis,Departmental Metrics,Actual Patients,39000
03,2025,Dialysis,Departmental Metrics,Expected Profitability,700000
03,2025,Dialysis,Departmental Metrics,Actual Profitability,680000
03,2025,Pediatric,Departmental Metrics,Expected Revenue,3000000
03,2025,Pediatric,Departmental Metrics,Actual Revenue,2900000
03,2025,Pediatric,Departmental Metrics,Expected Patients,45000
03,2025,Pediatric,Departmental Metrics,Actual Patients,44000
03,2025,Pediatric,Departmental Metrics,Expected Profitability,650000
03,2025,Pediatric,Departmental Metrics,Actual Profitability,640000
03,2025,Ophthalmology,Departmental Metrics,Expected Revenue,2800000
03,2025,Ophthalmology,Departmental Metrics,Actual Revenue,2700000
03,2025,Ophthalmology,Departmental Metrics,Expected Patients,42000
03,2025,Ophthalmology,Departmental Metrics,Actual Patients,41000
03,2025,Ophthalmology,Departmental Metrics,Expected Profitability,600000
03,2025,Ophthalmology,Departmental Metrics,Actual Profitability,590000
03,2025,Homoeopathic,Departmental Metrics,Expected Revenue,2200000
03,2025,Homoeopathic,Departmental Metrics,Actual Revenue,2100000
03,2025,Homoeopathic,Departmental Metrics,Expected Patients,35000
03,2025,Homoeopathic,Departmental Metrics,Actual Patients,34000
03,2025,Homoeopathic,Departmental Metrics,Expected Profitability,450000
03,2025,Homoeopathic,Departmental Metrics,Actual Profitability,440000
03,2025,Geriatric,Departmental Metrics,Expected Revenue,2400000
03,2025,Geriatric,Departmental Metrics,Actual Revenue,2300000
03,2025,Geriatric,Departmental Metrics,Expected Patients,37000
03,2025,Geriatric,Departmental Metrics,Actual Patients,36000
03,2025,Geriatric,Departmental Metrics,Expected Profitability,480000
03,2025,Geriatric,Departmental Metrics,Actual Profitability,470000
03,2025,Cardiology,Departmental Metrics,Expected Revenue,5200000
03,2025,Cardiology,Departmental Metrics,Actual Revenue,5100000
03,2025,Cardiology,Departmental Metrics,Expected Patients,63000
03,2025,Cardiology,Departmental Metrics,Actual Patients,62000
03,2025,Cardiology,Departmental Metrics,Expected Profitability,1050000
03,2025,Cardiology,Departmental Metrics,Actual Profitability,1020000
03,2025,Surgery,Departmental Metrics,Expected Revenue,5500000
03,2025,Surgery,Departmental Metrics,Actual Revenue,5400000
03,2025,Surgery,Departmental Metrics,Expected Patients,67000
03,2025,Surgery,Departmental Metrics,Actual Patients,66000
03,2025,Surgery,Departmental Metrics,Expected Profitability,1100000
03,2025,Surgery,Departmental Metrics,Actual Profitability,1080000
03,2025,Gynaecology,Departmental Metrics,Expected Revenue,4600000
03,2025,Gynaecology,Departmental Metrics,Actual Revenue,4500000
03,2025,Gynaecology,Departmental Metrics,Expected Patients,58000
03,2025,Gynaecology,Departmental Metrics,Actual Patients,57000
03,2025,Gynaecology,Departmental Metrics,Expected Profitability,950000
03,2025,Gynaecology,Departmental Metrics,Actual Profitability,940000
03,2025,Neurology,Departmental Metrics,Expected Revenue,4800000
03,2025,Neurology,Departmental Metrics,Actual Revenue,4700000
03,2025,Neurology,Departmental Metrics,Expected Patients,60000
03,2025,Neurology,Departmental Metrics,Actual Patients,59000
03,2025,Neurology,Departmental Metrics,Expected Profitability,980000
03,2025,Neurology,Departmental Metrics,Actual Profitability,970000
03,2025,Urology,Departmental Metrics,Expected Revenue,4300000
03,2025,Urology,Departmental Metrics,Actual Revenue,4200000
03,2025,Urology,Departmental Metrics,Expected Patients,54000
03,2025,Urology,Departmental Metrics,Actual Patients,53000
03,2025,Urology,Departmental Metrics,Expected Profitability,890000
03,2025,Urology,Departmental Metrics,Actual Profitability,880000
03,2025,ENT,Departmental Metrics,Expected Revenue,3000000
03,2025,ENT,Departmental Metrics,Actual Revenue,2900000
03,2025,ENT,Departmental Metrics,Expected Patients,43000
03,2025,ENT,Departmental Metrics,Actual Patients,42000
03,2025,ENT,Departmental Metrics,Expected Profitability,600000
03,2025,ENT,Departmental Metrics,Actual Profitability,590000
03,2025,Gastroenterology,Departmental Metrics,Expected Revenue,4700000
03,2025,Gastroenterology,Departmental Metrics,Actual Revenue,4600000
03,2025,Gastroenterology,Departmental Metrics,Expected Patients,61000
03,2025,Gastroenterology,Departmental Metrics,Actual Patients,60000
03,2025,Gastroenterology,Departmental Metrics,Expected Profitability,950000
03,2025,Gastroenterology,Departmental Metrics,Actual Profitability,940000
03,2025,General,General,Expected Revenue,10000000
03,2025,General,General,Actual Revenue,9800000
03,2025,General,General,Expected Expense,8700000
03,2025,General,General,Actual Expense,9200000
03,2025,Diagnostics,Diagnostics,Expected Lab Tests,9200000
03,2025,Diagnostics,Diagnostics,Actual Lab Tests,115000
03,2025,Diagnostics,Diagnostics,Expected Radiology Tests,95000
03,2025,Diagnostics,Diagnostics,Actual Radiology Tests,91000
03,2025,Admissions & Discharges,Admissions & Discharges,Expected Admissions,
03,2025,Admissions & Discharges,Admissions & Discharges,Actual Admissions,
03,2025,Admissions & Discharges,Admissions & Discharges,Expected Discharges,
03,2025,Admissions & Discharges,Admissions & Discharges,Actual Discharges,
03,2025,Workforce,Workforce,Expected Joinees,
03,2025,Workforce,Workforce,Actual Joinees,
03,2025,Workforce,Workforce,Expected Resignations,
03,2025,Workforce,Workforce,Actual Resignations,
03,2025,Pharmacy,Pharmacy,Expected Issued,
03,2025,Pharmacy,Pharmacy,Actual Issued,
03,2025,Pharmacy,Pharmacy,Expected Expired,
03,2025,Pharmacy,Pharmacy,Actual Expired,
03,2025,Feedback,Feedback,Expected IPDScore,
03,2025,Feedback,Feedback,Actual IPDScore,
03,2025,Feedback,Feedback,Expected OPDScore,
03,2025,Feedback,Feedback,Actual OPDScore,
03,2025,Maintenance,Maintenance,Expected Repair Cost,
03,2025,Maintenance,Maintenance,Actual Repair Cost,
03,2025,Maintenance,Maintenance,Expected Purchase Cost,
03,2025,Maintenance,Maintenance,Actual Purchase Cost,
03,2025,General Medicine,Departmental Metrics,Expected Revenue,
03,2025,General Medicine,Departmental Metrics,Actual Revenue,
03,2025,General Medicine,Departmental Metrics,Expected Patients,
03,2025,General Medicine,Departmental Metrics,Actual Patients,
03,2025,General Medicine,Departmental Metrics,Expected Profitability,
03,2025,General Medicine,Departmental Metrics,Actual Profitability,
03,2025,Orthopaedic,Departmental Metrics,Expected Revenue,
03,2025,Orthopaedic,Departmental Metrics,Actual Revenue,
03,2025,Orthopaedic,Departmental Metrics,Expected Patients,
03,2025,Orthopaedic,Departmental Metrics,Actual Patients,
03,2025,Orthopaedic,Departmental Metrics,Expected Profitability,
03,2025,Orthopaedic,Departmental Metrics,Actual Profitability,
03,2025,Dialysis,Departmental Metrics,Expected Revenue,
03,2025,Dialysis,Departmental Metrics,Actual Revenue,
03,2025,Dialysis,Departmental Metrics,Expected Patients,
03,2025,Dialysis,Departmental Metrics,Actual Patients,
03,2025,Dialysis,Departmental Metrics,Expected Profitability,
03,2025,Dialysis,Departmental Metrics,Actual Profitability,
03,2025,Pediatric,Departmental Metrics,Expected Revenue,
03,2025,Pediatric,Departmental Metrics,Actual Revenue,
03,2025,Pediatric,Departmental Metrics,Expected Patients,
03,2025,Pediatric,Departmental Metrics,Actual Patients,
03,2025,Pediatric,Departmental Metrics,Expected Profitability,
03,2025,Pediatric,Departmental Metrics,Actual Profitability,
03,2025,Ophthalmology,Departmental Metrics,Expected Revenue,
03,2025,Ophthalmology,Departmental Metrics,Actual Revenue,
03,2025,Ophthalmology,Departmental Metrics,Expected Patients,
03,2025,Ophthalmology,Departmental Metrics,Actual Patients,
03,2025,Ophthalmology,Departmental Metrics,Expected Profitability,
03,2025,Ophthalmology,Departmental Metrics,Actual Profitability,
03,2025,Homoeopathic,Departmental Metrics,Expected Revenue,
03,2025,Homoeopathic,Departmental Metrics,Actual Revenue,
03,2025,Homoeopathic,Departmental Metrics,Expected Patients,
03,2025,Homoeopathic,Departmental Metrics,Actual Patients,
03,2025,Homoeopathic,Departmental Metrics,Expected Profitability,
03,2025,Homoeopathic,Departmental Metrics,Actual Profitability,
03,2025,Geriatric,Departmental Metrics,Expected Revenue,
03,2025,Geriatric,Departmental Metrics,Actual Revenue,
03,2025,Geriatric,Departmental Metrics,Expected Patients,
03,2025,Geriatric,Departmental Metrics,Actual Patients,
03,2025,Geriatric,Departmental Metrics,Expected Profitability,
03,2025,Geriatric,Departmental Metrics,Actual Profitability,
03,2025,Cardiology,Departmental Metrics,Expected Revenue,
03,2025,Cardiology,Departmental Metrics,Actual Revenue,
03,2025,Cardiology,Departmental Metrics,Expected Patients,
03,2025,Cardiology,Departmental Metrics,Actual Patients,
03,2025,Cardiology,Departmental Metrics,Expected Profitability,
03,2025,Cardiology,Departmental Metrics,Actual Profitability,
03,2025,Surgery,Departmental Metrics,Expected Revenue,
03,2025,Surgery,Departmental Metrics,Actual Revenue,
03,2025,Surgery,Departmental Metrics,Expected Patients,
03,2025,Surgery,Departmental Metrics,Actual Patients,
03,2025,Surgery,Departmental Metrics,Expected Profitability,
03,2025,Surgery,Departmental Metrics,Actual Profitability,
03,2025,Gynaecology,Departmental Metrics,Expected Revenue,
03,2025,Gynaecology,Departmental Metrics,Actual Revenue,
03,2025,Gynaecology,Departmental Metrics,Expected Patients,
03,2025,Gynaecology,Departmental Metrics,Actual Patients,
03,2025,Gynaecology,Departmental Metrics,Expected Profitability,
03,2025,Gynaecology,Departmental Metrics,Actual Profitability,
03,2025,Neurology,Departmental Metrics,Expected Revenue,
03,2025,Neurology,Departmental Metrics,Actual Revenue,
03,2025,Neurology,Departmental Metrics,Expected Patients,
03,2025,Neurology,Departmental Metrics,Actual Patients,
03,2025,Neurology,Departmental Metrics,Expected Profitability,
03,2025,Neurology,Departmental Metrics,Actual Profitability,
03,2025,Urology,Departmental Metrics,Expected Revenue,
03,2025,Urology,Departmental Metrics,Actual Revenue,
03,2025,Urology,Departmental Metrics,Expected Patients,
03,2025,Urology,Departmental Metrics,Actual Patients,
03,2025,Urology,Departmental Metrics,Expected Profitability,
03,2025,Urology,Departmental Metrics,Actual Profitability,
03,2025,ENT,Departmental Metrics,Expected Revenue,
03,2025,ENT,Departmental Metrics,Actual Revenue,
03,2025,ENT,Departmental Metrics,Expected Patients,
03,2025,ENT,Departmental Metrics,Actual Patients,
03,2025,ENT,Departmental Metrics,Expected Profitability,
03,2025,ENT,Departmental Metrics,Actual Profitability,
03,2025,Gastroenterology,Departmental Metrics,Expected Revenue,
03,2025,Gastroenterology,Departmental Metrics,Actual Revenue,
03,2025,Gastroenterology,Departmental Metrics,Expected Patients,
03,2025,Gastroenterology,Departmental Metrics,Actual Patients,
03,2025,Gastroenterology,Departmental Metrics,Expected Profitability,
03,2025,Gastroenterology,Departmental Metrics,Actual Profitability,
04,2025,General,General,Expected Revenue,950000
04,2025,General,General,Actual Revenue,910000
04,2025,General,General,Expected Expense,850000
04,2025,General,General,Actual Expense,830000
04,2025,Diagnostics,Diagnostics,Expected Lab Tests,12500
04,2025,Diagnostics,Diagnostics,Actual Lab Tests,11980
04,2025,Diagnostics,Diagnostics,Expected Radiology Tests,8430
04,2025,Diagnostics,Diagnostics,Actual Radiology Tests,8430
04,2025,Admissions & Discharges,Admissions & Discharges,Expected Admissions,5400
04,2025,Admissions & Discharges,Admissions & Discharges,Actual Admissions,5225
04,2025,Admissions & Discharges,Admissions & Discharges,Expected Discharges,5300
04,2025,Admissions & Discharges,Admissions & Discharges,Actual Discharges,5090
04,2025,Workforce,Workforce,Expected Joinees,1800
04,2025,Workforce,Workforce,Actual Joinees,1172
04,2025,Workforce,Workforce,Expected Resignations,950
04,2025,Workforce,Workforce,Actual Resignations,880
04,2025,Pharmacy,Pharmacy,Expected Issued,178000
04,2025,Pharmacy,Pharmacy,Actual Issued,172500
